Lea State,LEA,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2013,Total enrollment,,0,,4,2,43,2,349,4,404,2,0,0
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,AMERICAN PREPARATORY ACADEMY--LEA,4900005,2013,Total enrollment,,8,,286,70,1135,109,1813,58,3479,386,33,649
UT,UTAH CONNECTIONS ACADEMY,4900151,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,UTAH CONNECTIONS ACADEMY,4900151,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH CONNECTIONS ACADEMY,4900151,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH CONNECTIONS ACADEMY,4900151,2013,Total enrollment,,4,,5,2,52,10,583,25,681,74,13,4
UT,WEBER STATE UNIVERSITY CHARTER ACADEMY,4900167,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,WEBER STATE UNIVERSITY CHARTER ACADEMY,4900167,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WEBER STATE UNIVERSITY CHARTER ACADEMY,4900167,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WEBER STATE UNIVERSITY CHARTER ACADEMY,4900167,2013,Total enrollment,,0,,2,0,4,0,37,0,43,2,0,0
UT,THOMAS EDISON - LEA,4900015,2013,Allegations - basis of disability,1,,,,,,,,,,,,
UT,THOMAS EDISON - LEA,4900015,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,THOMAS EDISON - LEA,4900015,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,THOMAS EDISON - LEA,4900015,2013,Total enrollment,,8,,35,11,161,12,1073,12,1312,187,6,0
UT,VOYAGE ACADEMY,4900160,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,VOYAGE ACADEMY,4900160,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VOYAGE ACADEMY,4900160,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VOYAGE ACADEMY,4900160,2013,Total enrollment,,2,,58,2,40,7,376,16,501,59,0,0
UT,MILLARD DISTRICT,4900540,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,MILLARD DISTRICT,4900540,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MILLARD DISTRICT,4900540,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MILLARD DISTRICT,4900540,2013,Total enrollment,,31,,37,16,485,8,2398,44,3019,548,10,166
UT,DAGGETT DISTRICT,4900180,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,DAGGETT DISTRICT,4900180,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,DAGGETT DISTRICT,4900180,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,DAGGETT DISTRICT,4900180,2013,Total enrollment,,4,,2,0,15,4,201,6,232,24,4,0
UT,CITY ACADEMY,4900009,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,CITY ACADEMY,4900009,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CITY ACADEMY,4900009,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CITY ACADEMY,4900009,2013,Total enrollment,,2,,7,2,52,4,154,16,237,41,16,7
UT,LINCOLN ACADEMY,4900022,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,LINCOLN ACADEMY,4900022,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,LINCOLN ACADEMY,4900022,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,LINCOLN ACADEMY,4900022,2013,Total enrollment,,0,,7,4,40,4,601,28,684,92,0,0
UT,QUEST ACADEMY,4900132,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,QUEST ACADEMY,4900132,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,QUEST ACADEMY,4900132,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,QUEST ACADEMY,4900132,2015,Total enrollment,,4,,4,2,109,4,808,25,956,131,10,4
UT,TOOELE DISTRICT,4901050,2013,Allegations - basis of disability,3,,,,,,,,,,,,
UT,TOOELE DISTRICT,4901050,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,2,4,4,0,0
UT,TOOELE DISTRICT,4901050,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,2,4,4,0,0
UT,TOOELE DISTRICT,4901050,2013,Total enrollment,,99,,38,70,1849,97,11789,293,14235,1991,101,464
UT,WALDEN SCHOOL OF LIBERAL ARTS,4900061,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,WALDEN SCHOOL OF LIBERAL ARTS,4900061,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WALDEN SCHOOL OF LIBERAL ARTS,4900061,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,WALDEN SCHOOL OF LIBERAL ARTS,4900061,2013,Total enrollment,,10,,7,0,34,4,379,10,444,86,13,2
UT,DUAL IMMERSION ACADEMY,4900073,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,DUAL IMMERSION ACADEMY,4900073,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,DUAL IMMERSION ACADEMY,4900073,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,DUAL IMMERSION ACADEMY,4900073,2013,Total enrollment,,4,,0,2,376,4,37,10,433,47,0,136
UT,CANYONS DISTRICT,4900142,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,CANYONS DISTRICT,4900142,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CANYONS DISTRICT,4900142,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CANYONS DISTRICT,4900142,2013,Total enrollment,,202,,764,353,5000,384,26063,1559,34325,3461,247,1463
UT,PROVIDENCE HALL,4900124,2013,Allegations - basis of disability,5,,,,,,,,,,,,
UT,PROVIDENCE HALL,4900124,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,PROVIDENCE HALL,4900124,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,4,0,4,2,0,0
UT,PROVIDENCE HALL,4900124,2013,Total enrollment,,0,,13,13,58,16,1441,10,1551,179,10,0
UT,ALIANZA ACADEMY,4900149,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ALIANZA ACADEMY,4900149,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ALIANZA ACADEMY,4900149,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ALIANZA ACADEMY,4900149,2013,Total enrollment,,4,,10,4,127,16,274,13,448,74,0,31
UT,MANA ACADEMY CHARTER SCHOOL,4900165,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,MANA ACADEMY CHARTER SCHOOL,4900165,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MANA ACADEMY CHARTER SCHOOL,4900165,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,MANA ACADEMY CHARTER SCHOOL,4900165,2013,Total enrollment,,0,,4,148,16,19,424,16,627,26,0,19
UT,EMERY DISTRICT,4900270,2013,Allegations - basis of disability,1,,,,,,,,,,,,
UT,EMERY DISTRICT,4900270,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,EMERY DISTRICT,4900270,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,EMERY DISTRICT,4900270,2013,Total enrollment,,12,,10,6,170,14,2170,14,2396,497,15,82
UT,NEBO DISTRICT,4900630,2013,Allegations - basis of disability,2,,,,,,,,,,,,
UT,NEBO DISTRICT,4900630,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NEBO DISTRICT,4900630,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,2,0,2,0,4,2,0,0
UT,NEBO DISTRICT,4900630,2013,Total enrollment,,155,,153,260,3216,197,27546,436,31963,4623,403,832
UT,NORTH STAR ACADEMY,4900025,2013,Allegations - basis of disability,3,,,,,,,,,,,,
UT,NORTH STAR ACADEMY,4900025,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,NORTH STAR ACADEMY,4900025,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,4,0,4,4,0,0
UT,NORTH STAR ACADEMY,4900025,2013,Total enrollment,,0,,7,0,10,7,496,7,527,56,0,2
UT,OGDEN CITY DISTRICT,4900720,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,OGDEN CITY DISTRICT,4900720,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,OGDEN CITY DISTRICT,4900720,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,OGDEN CITY DISTRICT,4900720,2013,Total enrollment,,160,,104,69,7595,254,6707,324,15213,1615,87,2651
UT,LEADERSHIP LEARNING ACADEMY,4900162,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,LEADERSHIP LEARNING ACADEMY,4900162,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,LEADERSHIP LEARNING ACADEMY,4900162,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,LEADERSHIP LEARNING ACADEMY,4900162,2013,Total enrollment,,4,,10,2,52,7,352,22,449,35,0,0
UT,TIMPANOGOS ACADEMY,4900016,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,TIMPANOGOS ACADEMY,4900016,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,TIMPANOGOS ACADEMY,4900016,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,TIMPANOGOS ACADEMY,4900016,2013,Total enrollment,,0,,13,7,40,4,367,4,435,53,7,0
UT,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),4900023,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),4900023,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),4900023,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),4900023,2013,Total enrollment,,0,,13,4,31,4,238,4,294,50,0,0
UT,PARADIGM HIGH SCHOOL,4900052,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,PARADIGM HIGH SCHOOL,4900052,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,PARADIGM HIGH SCHOOL,4900052,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,PARADIGM HIGH SCHOOL,4900052,2013,Total enrollment,,2,,2,0,46,0,580,16,646,83,0,0
UT,CHANNING HALL,4900040,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,CHANNING HALL,4900040,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CHANNING HALL,4900040,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,CHANNING HALL,4900040,2013,Total enrollment,,2,,25,10,37,4,580,0,658,86,0,5
UT,MORGAN DISTRICT,4900570,2013,Allegations - basis of disability,1,,,,,,,,,,,,
UT,MORGAN DISTRICT,4900570,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,MORGAN DISTRICT,4900570,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,2,0,0
UT,MORGAN DISTRICT,4900570,2013,Total enrollment,,10,,8,15,72,12,2561,18,2696,265,18,10
UT,SEVIER DISTRICT,4900930,2013,Allegations - basis of disability,1,,,,,,,,,,,,
UT,SEVIER DISTRICT,4900930,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,2,0,0,0,2,0,0,0
UT,SEVIER DISTRICT,4900930,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,SEVIER DISTRICT,4900930,2013,Total enrollment,,174,,26,26,236,33,4300,0,4795,677,370,84
UT,RANCHES ACADEMY,4900064,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,RANCHES ACADEMY,4900064,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,RANCHES ACADEMY,4900064,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,RANCHES ACADEMY,4900064,2013,Total enrollment,,0,,2,2,31,4,316,10,365,62,2,2
UT,DAVINCI ACADEMY,4900065,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,DAVINCI ACADEMY,4900065,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,DAVINCI ACADEMY,4900065,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,DAVINCI ACADEMY,4900065,2013,Total enrollment,,8,,35,29,236,38,2045,0,2391,214,50,32
UT,WAYNE DISTRICT,4901170,2013,Allegations - basis of disability,1,,,,,,,,,,,,
UT,WAYNE DISTRICT,4901170,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,WAYNE DISTRICT,4901170,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,2,0,0
UT,WAYNE DISTRICT,4901170,2013,Total enrollment,,6,,4,4,16,2,499,12,543,87,2,6
UT,QUEST ACADEMY,4900132,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,QUEST ACADEMY,4900132,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,QUEST ACADEMY,4900132,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,QUEST ACADEMY,4900132,2013,Total enrollment,,5,,7,4,106,2,805,22,951,152,13,10
UT,GUADALUPE SCHOOL,4900072,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,GUADALUPE SCHOOL,4900072,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GUADALUPE SCHOOL,4900072,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,GUADALUPE SCHOOL,4900072,2013,Total enrollment,,0,,0,2,127,2,4,2,137,17,0,85
UT,BEAVER DISTRICT,4900060,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,BEAVER DISTRICT,4900060,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,BEAVER DISTRICT,4900060,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,BEAVER DISTRICT,4900060,2013,Total enrollment,,10,,13,10,201,2,1363,10,1609,235,4,54
UT,ITINERIS EARLY COLLEGE HIGH,4900067,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ITINERIS EARLY COLLEGE HIGH,4900067,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ITINERIS EARLY COLLEGE HIGH,4900067,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ITINERIS EARLY COLLEGE HIGH,4900067,2013,Total enrollment,,4,,31,4,43,2,226,4,314,4,4,0
UT,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,4900050,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,4900050,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,4900050,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
